Team,Year,Name0,Arch0,A0,B0,C0,D0,E0,OBPM0,DBPM0,VORP0,MP0,Name1,Arch1,A1,B1,C1,D1,E1,OBPM1,DBPM1,VORP1,MP1,Name2,Arch2,A2,B2,C2,D2,E2,OBPM2,DBPM2,VORP2,MP2,Name3,Arch3,A3,B3,C3,D3,E3,OBPM3,DBPM3,VORP3,MP3,Name4,Arch4,A4,B4,C4,D4,E4,OBPM4,DBPM4,VORP4,MP4,Name5,Arch5,A5,B5,C5,D5,E5,OBPM5,DBPM5,VORP5,MP5,Name6,Arch6,A6,B6,C6,D6,E6,OBPM6,DBPM6,VORP6,MP6,Name7,Arch7,A7,B7,C7,D7,E7,OBPM7,DBPM7,VORP7,MP7,Name8,Arch8,A8,B8,C8,D8,E8,OBPM8,DBPM8,VORP8,MP8,Name9,Arch9,A9,B9,C9,D9,E9,OBPM9,DBPM9,VORP9,MP9,SRS
OKC,2008,Kevin Durant,G,9.171288879099405,-1.7621149132871678,-1.4771266296339185,-1.3229089227072333,0.7937133842260989,3.4,-0.1,3.8,2885,Russell Westbrook,J,3.8028560013309485,-1.8239551443168136,-4.029903911383888,0.7521054158640402,1.4156916624562814,-0.1,-0.9,0.7,2668,Jeff Green,J,4.173059755955463,-0.7843902703734398,-1.4122144248833228,-1.7181421462341702,-1.0630402573183777,-0.6,-0.6,0.6,2873,Thabo Sefolosha,B,-2.0603816154376124,-0.4388143242018885,1.4756694313076242,1.5839673696612293,-0.8333737748168883,-1.2,1.7,0.5,735,Nick Collison,D,2.079662923924072,4.291677754914219,1.4896225208723568,-0.10223148574900803,-0.08133146496387064,-1.5,0.3,0.4,1831,Kyle Weaver,B,-1.8569623342194144,-1.0263458884006569,1.8568089634904417,1.3365439717609309,-0.32460775089401706,-2.3,1.1,0.2,1166,Nenad Krstić,F,0.1983172035468329,2.8297386625979204,-1.1358602761071876,-1.5964866637151267,-0.21264945062172064,-2.3,-0.4,-0.2,1141,Chris Wilcox,F,-0.7572670897310283,2.8547845588241203,-1.5122228174647554,-1.080440588964098,1.1811826611114202,-3.0,-1.0,-0.4,719,Desmond Mason,F,-2.265195701014332,1.5260785243753463,-2.4352051269515727,-0.6021484084905816,-0.28789899924798806,-4.8,-0.3,-0.8,1064,Earl Watson,B,-1.8434178435395887,-2.440055472601176,-2.573527986835545,1.4361940200727996,0.3683474869549044,-3.2,-1.4,-1.2,1776,-6.04
OKC,2009,Kevin Durant,I,14.213363550494158,-1.4559986536862437,-0.6481402854647761,-0.5375448311926083,0.4110319376096182,6.3,0.8,7.5,3239,Russell Westbrook,G,5.99166053626167,-2.1105588613925144,-3.2792841071477468,2.028140327297049,1.3672815874812765,1.7,-0.5,2.3,2813,Jeff Green,A,4.593899872589907,-0.6096004976904579,0.017062968340019753,-0.5487404310588002,-2.695470354007416,-0.4,0.6,1.7,3043,Thabo Sefolosha,A,0.322623599664488,0.11245838541773057,1.1794960456597203,1.9779457965854497,-2.8364809625310134,-1.9,2.0,1.3,2348,James Harden,A,1.5311987724347584,-1.87767775256842,0.8643329272444288,0.7398957393219433,-1.160721648046265,-0.7,1.2,1.1,1738,Nick Collison,D,0.8123512862093721,3.9425823243087135,2.937680984915015,0.17687466276124292,0.04063731634821381,-1.9,0.8,0.3,1557,Serge Ibaka,D,0.5515792822576411,4.806462982036802,1.8005852035871834,-0.5937894548778185,-1.1030472683563188,-2.4,0.9,0.2,1323,Nenad Krstić,F,0.6952154475645396,2.4461518896571746,0.5393254428926766,-1.1815888712229843,-0.3831298450637774,-1.5,-0.2,0.1,1741,Eric Maynor,B,-2.8120067441614425,-2.18090102705753,-0.8592115779427678,1.0783848052724982,1.559318653625876,-1.1,-0.4,0.0,363,Etan Thomas,K,-4.335116424930509,2.814380388866927,-0.3162439551016846,-0.07577638363136853,-0.1916215473345444,-5.3,0.3,-0.2,321,3.55
OKC,2010,Kevin Durant,I,11.346260961818967,-2.1135421418711817,-0.6224163166700902,-1.9261654487500015,0.17706752723235372,5.2,-0.3,5.3,3038,Russell Westbrook,G,9.852785097010171,-3.1585042772938663,-3.0005673047106094,2.7528154366037367,2.7840833695708107,4.3,-0.1,4.4,2847,James Harden,A,3.5003816679792057,-2.304357077645314,2.2231109049231312,0.2357230605031522,-0.3619532032685159,1.3,0.6,2.2,2189,Serge Ibaka,C,3.963317154915506,6.074168886123607,1.2574098250983878,-0.8485443058421036,-1.7615788338018303,-0.2,0.7,1.4,2216,Thabo Sefolosha,A,0.20724714871021366,0.4370896057892333,2.469747730369301,1.9158967661593789,-2.163290438593544,-1.3,1.9,1.3,2049,Daequan Cook,E,-1.939961975867492,-2.7119440146720586,5.0444988577207335,-2.4719920192670077,-0.7563263893898038,1.8,-0.7,0.5,598,Jeff Green,A,2.8021318730584537,-1.0909621109701246,-0.7278488570399153,-2.3415326222625272,-0.6112516260756288,-0.3,-0.9,0.3,1815,Nick Collison,D,-0.29798130581460336,3.104289950588984,2.402501157652167,0.8727667110170195,0.2705918621113729,-1.9,0.7,0.3,1524,Eric Maynor,B,-2.6218699935481875,-2.5159071662060333,0.4655834780856222,0.7382775946431355,0.26709644841050645,-0.8,-1.1,0.1,1200,Nenad Krstić,F,-0.8217119308164551,2.199337630912985,0.2327286210893499,-1.7700538665195178,0.8378398875019596,-1.5,-1.4,-0.2,1018,3.81
OKC,2011,Kevin Durant,I,12.455831523747051,-1.752333241202736,0.1851196934846667,-0.7854964253623914,-0.018386381607071768,6.2,0.8,5.8,2546,James Harden,G,6.564247921305761,-2.586432800884132,3.166716325199824,-0.1886109136520603,1.3186472427128544,4.1,0.2,3.1,1946,Russell Westbrook,G,8.790582993178374,-3.251479851421303,-2.3590200309086793,0.42611066879051546,2.36309150359725,3.7,-0.7,3.0,2331,Serge Ibaka,C,3.922969268874152,6.6388140743800745,1.5489796312865851,0.3307680442973677,-3.0234769759239914,0.1,2.3,1.9,1792,Nick Collison,D,-0.09329420028107246,3.217043009845491,3.1693847349672017,1.2199634625321802,1.1320948008406513,-0.5,0.7,0.7,1307,Thabo Sefolosha,E,-1.5752063847996811,-1.0122200225416569,2.5101288167773,1.2368299589159757,-1.3819849806236073,-1.3,1.7,0.6,914,Daequan Cook,E,-2.9011740534729578,-2.5607253097906644,2.450580726987979,-2.4283119259617587,-2.6383238868733723,-0.5,-0.7,0.2,989,Kendrick Perkins,F,-0.5217796031237472,4.112801254930393,-0.5302814639712177,1.2342128825624656,-0.9615249941261252,-3.0,0.9,0.0,1744,Nazr Mohammed,K,-3.303417107688565,3.0216522057749,1.0113450149847507,0.4944004789472411,-1.0505105577823557,-3.0,0.7,-0.1,692,Reggie Jackson,B,-4.692222997927965,-2.7718552015925217,-1.1599423270873623,1.239881257151522,-0.15871823179433125,-3.3,-0.3,-0.2,501,6.44
OKC,2012,Kevin Durant,I,15.133900464617007,-1.4481121016369385,1.417500056713564,1.040528254665577,0.0656423061257441,7.6,1.7,8.9,3119,Russell Westbrook,G,10.412280196656251,-3.6460156310770695,-1.9232552150546216,1.5508682448377429,1.3000403120009232,4.6,-0.2,4.6,2861,Thabo Sefolosha,A,2.125334228104024,-1.3002625638410001,4.556514225154723,1.109319417753076,-2.8258227669624536,0.6,1.8,2.5,2229,Serge Ibaka,C,6.018987802703277,5.219626203570722,2.0363941591074166,-1.0367301913944191,-1.9464679412577932,0.9,0.7,2.2,2486,Kevin Martin,A,3.0545641744732457,-3.656182418765207,2.7026578024633316,-1.5308670976678307,-0.5458277504299724,1.7,-0.7,1.6,2136,Nick Collison,D,0.8945580252322335,2.7560449457873086,3.601565025183574,1.5971275550335708,0.6748327531533499,-0.2,1.1,1.2,1583,Reggie Jackson,E,-1.1307378173607412,-0.6798378035911333,2.3018118111054635,0.22212920334555994,0.3720323074145435,-0.4,0.5,0.5,993,Kendrick Perkins,F,-0.8956058521271876,3.5089762418349477,-0.6928041801778883,1.8574811937714184,-2.3890726163011555,-3.2,1.4,0.1,1954,Hasheem Thabeet,D,-1.7466016071992685,5.084979008545245,3.6750567060604546,2.380107217189644,0.4887887549896763,-3.9,2.4,0.1,770,Eric Maynor,H,-5.5950900621487865,-3.8669679675880655,-1.5512856953206182,0.043755772308715,0.4422519243495249,-2.5,-2.5,-0.3,391,9.15
OKC,2013,Kevin Durant,I,16.220635229415656,-3.130744947320983,1.319931594191366,0.10639057550150036,0.5574848086243219,8.8,1.4,9.6,3122,Russell Westbrook,G,8.390143079341524,-3.6704763358272494,-1.6171165571392536,1.597257063814659,1.6968473647922355,4.8,0.7,2.7,1412,Serge Ibaka,C,6.77690681221347,4.640840058972404,0.8335451093001727,-1.2699032105495132,-2.4965176348296545,1.1,0.6,2.5,2666,Reggie Jackson,J,3.009476902757428,-2.801912625392632,-0.12739255264902846,0.21795793512284173,-0.14207308349865175,0.4,-0.3,1.2,2277,Thabo Sefolosha,A,-0.5020666951713604,-1.3676388632374314,1.7955888991213376,1.3669603883407977,-2.2464794048640666,-1.2,1.5,0.9,1584,Jeremy Lamb,A,-0.03703488492440615,-2.1683228008272555,1.8088516417395903,-0.7391011872819921,-1.2322459047692356,-0.1,0.2,0.8,1538,Derek Fisher,E,-1.7001832454186785,-3.163989653306762,2.6473430386304284,1.0276085078083594,-2.478379816988032,-1.8,1.2,0.5,1428,Nick Collison,D,-0.5914116979906326,2.5266208101588283,2.948604061494272,0.9617828230627328,0.6504800294383555,-1.3,0.5,0.4,1353,Steven Adams,D,-1.4380028291473503,4.7746484500120925,0.9164552989266536,1.8195845051105493,0.3640948714863901,-3.1,0.9,-0.1,1197,Kendrick Perkins,K,-2.826885118528788,3.311315153913595,-1.254954523138542,1.6127145588201408,-1.0163450450699512,-5.0,0.7,-0.7,1207,6.66
OKC,2014,Russell Westbrook,I,13.434768780508904,-3.683978094785836,-3.050687162602211,2.2363638430570103,2.0879244978769496,6.9,1.2,5.8,2302,Kevin Durant,G,9.074746525519062,-2.3297347355231315,2.254589602770308,-1.7474837806633716,1.1932079050110804,8.6,1.4,2.8,913,Anthony Morrow,A,1.5051223310922874,-2.9386210634403263,4.1506138732150015,-1.932306903731988,-1.4812457578478269,1.9,-0.1,1.7,1806,Serge Ibaka,C,4.4622152822462455,2.327386257999993,0.7374996367002858,-2.1928379072334945,-3.2978747854798414,0.5,0.4,1.6,2116,Reggie Jackson,J,2.0808277685635845,-2.5875184156864783,-0.2388817648998879,-0.4388579665566215,0.4552842637912216,0.9,-0.2,0.9,1398,Andre Roberson,E,-1.864346117885204,1.151782393520382,2.340000606412897,1.5781472327772594,-1.711653231152034,-2.4,1.7,0.4,1286,Steven Adams,D,1.7329053860423582,5.380886489722631,0.2493517876629429,0.09643036570284667,-0.1850964243395383,-1.5,0.2,0.3,1771,Nick Collison,K,-1.74880190583614,1.1738577970299746,0.8814057496279113,0.8075920824889006,-1.5151204399004328,-1.9,0.9,0.3,1101,Dion Waiters,B,-0.8164802843280544,-3.0358450156094507,-1.3501775158906597,0.3913961022369735,0.3816017411646368,-2.6,0.0,-0.1,786,Kendrick Perkins,K,-2.858782984325408,3.9178552748125033,-1.7010246884747435,0.6754504964613481,-1.0182844176753565,-5.0,0.3,-0.7,981,2.47
OKC,2015,Kevin Durant,I,13.63667947820374,-2.254011467535141,2.143112449206656,-0.6308627849158823,-0.6581147027393407,8.4,1.6,7.8,2578,Russell Westbrook,I,13.033441193724165,-3.1518368693470213,-1.0777938747044749,3.5445217072366653,0.8215177302619288,6.4,1.4,6.8,2750,Enes Kanter,C,5.112897153275579,4.3397419602727805,2.135245161265439,-2.814893176009249,1.5133307406933567,3.3,-2.1,1.4,1721,Steven Adams,D,2.7949647490155574,5.1246702893776295,2.5520158095857117,-0.06535561535382609,0.5651816262608184,0.0,0.2,1.1,2014,Andre Roberson,E,-0.6259083263448322,0.7960324675525716,3.530844527181502,0.4148150755327577,-1.466422581635749,-0.7,1.3,1.0,1553,Serge Ibaka,C,3.2990715367989667,2.0353228067104188,0.3884636914357437,-1.8133404699434508,-2.7833698561821745,-0.6,0.0,0.8,2500,Anthony Morrow,E,-2.7586316084113043,-3.1295048819586726,3.061212730629405,-2.1999075423750485,-1.0843676464102332,-0.1,-1.0,0.2,926,Nick Collison,K,-3.8988599277332647,2.55132477999918,0.3497120232541033,1.6851783650740302,0.043527963468321634,-3.6,0.5,-0.2,699,Kyle Singler,E,-3.8457283266773006,-0.6431946350017252,0.9965578105231864,-0.4260230036343949,-1.451065181755561,-3.1,-0.1,-0.3,977,Dion Waiters,A,-0.4393640098832696,-2.7122875006655045,-0.5628750068710381,-0.3273626841358735,-1.2458547259560515,-2.4,-0.4,-0.4,2152,7.09
OKC,2016,Russell Westbrook,I,16.74035099879584,-3.697692350813834,-2.4920347449347933,1.9602830069995465,-0.05640862685194047,8.7,2.4,9.3,2802,Enes Kanter,C,4.819854256926663,3.431250339317382,0.740758263584256,-2.042528787324577,2.2358257051357726,3.0,-1.3,1.4,1533,Steven Adams,C,4.141068561499758,4.325097344988362,0.5008740032237164,0.4859893743597454,0.31632680973015875,-0.2,0.0,1.1,2389,Victor Oladipo,A,3.149419564194378,-2.9063562069803983,0.1937816321410477,-1.4314940177925597,-1.606330306172314,-0.3,-0.1,0.8,2222,Andre Roberson,A,0.5448373850326832,1.2579384777927314,1.800375660241445,0.7196487030616341,-3.236661193195765,-2.5,1.4,0.6,2376,Jerami Grant,E,-1.1320786496512416,0.7754271766950044,2.7544972463851787,-0.2890430709258713,-1.2515058739275715,-1.9,0.9,0.4,1490,Álex Abrines,E,-2.303619104777694,-3.2212150808559445,2.82571573453678,-1.5832766169011492,-1.548591701935603,-1.3,-0.4,0.1,1055,Joffrey Lauvergne,E,-1.7127232588067929,0.6156679924409219,1.5101606747184997,-1.0957522416531866,-0.10423325891064876,-1.0,-0.5,0.1,739,Semaj Christon,H,-5.124839906752993,-1.7503211218346932,-1.3789367959174192,0.7847714132196874,-1.0719839464463268,-4.8,-0.3,-0.8,973,Domantas Sabonis,E,-2.4754602770954066,-0.1774080378970677,-0.5966727682960163,-0.8233537124711731,-2.189063492865994,-4.5,-0.1,-1.0,1632,1.14
OKC,2017,Russell Westbrook,I,12.805430200809324,-2.2300043904281335,-3.1126812376649404,2.527540520388344,-0.044926231006006734,4.8,1.5,6.1,2914,Paul George,G,8.161231425446044,-3.941990086728573,0.33006719513911964,-0.2243243952375705,-2.6716533038055506,2.3,0.6,3.6,2891,Steven Adams,C,6.687389903119461,5.348585706380702,1.5161760694619535,-0.06592277155789876,0.9934207581495944,1.7,-0.6,2.0,2487,Jerami Grant,D,1.71158740800703,2.27233307886864,3.2854263258185017,-0.908596713216726,0.17726341051233313,0.0,0.3,1.0,1647,Patrick Patterson,E,-2.1759169490235437,-1.408094346528157,3.1316956996322745,0.04964256816535385,-2.5154141091151696,-1.2,1.0,0.6,1270,Raymond Felton,E,-1.1958094497273206,-2.9534154721033232,1.3475304815528704,-0.042044785230157374,-1.127602848244971,-0.3,-0.3,0.5,1365,Andre Roberson,D,-0.5795445674266334,2.4895720140420763,2.50565738805789,1.7034390555060628,-1.1373685680395091,-1.9,1.8,0.5,1037,Álex Abrines,E,-2.6243197765556854,-2.4556074735374653,3.2909152800701107,-1.1235709919013213,-2.0106547874239173,-1.9,0.4,0.1,1134,Carmelo Anthony,A,2.7947934137212385,-1.8699423901016845,-0.5835592379779277,-3.6237716203901815,-3.1960482749573207,-0.6,-1.3,0.0,2501,Josh Huestis,H,-5.09036660501265,0.19199184920581533,0.1987951265262997,-0.7029189810173557,-3.622463100138252,-3.9,0.0,-0.5,982,3.42
