Factor,Year,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,VORP,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,A,B,C,D,E
A,-0.05163002265880016,-0.016174185196543376,-0.0003566525077806431,0.5285761713429346,0.8273675642819377,0.8730774264679697,0.5620731367037555,-0.09138382791735676,0.18207997371220846,0.020949234323601632,0.17882823964987887,0.1276566699726219,0.3231004727118699,0.1265873947881874,0.05855790151950245,-0.24086149278452382,0.5874508331594727,0.820101421236488,0.7336018688533903,0.7003567398633226,0.8443877767657862,0.1709127231692299,0.8171546253886214,0.8878921214431946,0.9381665030294585,0.8951375539803739,0.4581094593067291,0.3403592326385358,0.3380138735409992,0.1618777319793531,0.9018566779061856,0.8734911361947598,0.42718882008025755,0.4607023020561373,0.8715445912347781,0.8710857378483049,0.2936359797677478,0.5181959381328589,0.7273258371210205,0.5962451306924642,0.6892833559610051,0.41511796828422753,0.8117747660392806,0.6008090934252798,0.9436696610127571,1.0,-8.314561201653755e-17,1.6698911454482042e-16,1.1259337549371556e-15,-1.1187815352626916e-15
B,-0.11966310172055522,-0.007029380152296253,-0.044132161640852804,0.02957169926160761,-0.07403777181308754,0.1178143474443049,0.16530929017881663,-0.6914126971816562,0.493930372653474,0.8773868365915345,0.7805664294141934,0.8876700278084197,-0.6109029182978222,-0.3101537304966837,0.7177033062441565,0.12815506159736628,-0.2692699802099546,-0.037047064559622006,0.21448916718940786,0.23463295051583657,-0.19294369429499708,0.2565933493869214,-0.0844116457668591,-0.15040055176302405,-0.13332733350686515,-0.2592416524811203,0.5753335350890945,-0.6659148592529865,-0.6911233807699179,-0.6288278913718468,0.07281754112248556,0.005210154400257669,0.39169710031209987,0.20059257109263318,-0.0514647356095649,0.048251003416968294,-0.4489997494303531,0.6971320476174855,0.4306835723283846,-0.5071217016393101,-0.3124164276520603,0.6183276721747925,-0.17521104023614612,0.33875588173671783,-0.1854970248679933,-8.314561201653755e-17,1.0,-6.807354111103885e-15,-2.2655211833211805e-13,1.5792922902683152e-13
C,-0.3092299002010648,-0.01583201304978543,-0.11085926926104844,-0.11323948186927259,0.03314035560865204,-0.195304332527395,-0.7070513381768945,-0.40572105531654357,0.10936736840429635,0.08392608655495068,0.012267380576510823,0.03872269156288779,0.15889098956383793,0.09130662569112673,-0.04640641444965612,0.26572952755979645,0.3064544204053238,-0.21298565931143504,0.0038274252857426957,-0.5124936236477373,-0.30656486618538875,-0.21555796649204434,-0.11606373397293009,0.1355843109047235,0.15179196629473926,0.2199547002429676,-0.47088635642330423,-0.32938562889054346,-0.26975058567838395,-0.29124128072000083,0.2711935014485004,0.36833871547398384,-0.5852916721094039,-0.7807144187731124,0.23167962501481199,0.26351936428918693,-0.15480464042012934,0.17880653746072223,0.10890525549100485,0.16299945115032274,0.14906740330774634,0.07391825730036063,0.3653709197077064,0.19984612839101093,0.13168501980964145,1.6698911454482042e-16,-6.807354111103885e-15,1.0,1.9375101891787348e-12,-1.1051466740098351e-11
D,-0.17578886332131483,-0.03113133781498526,0.0905891142473927,0.10980063860780688,0.049974300689411666,0.021138909804445803,-0.015567881025165707,-0.14341838704378823,0.16532750849766298,-0.07310054167651318,-0.11100015661135117,-0.100046667762479,0.4527320682375573,0.6946592058347412,0.032620140204509415,0.5462097491850391,-0.32032437570570593,0.05845077769686729,0.25857101732840554,0.15784612675657808,-0.02297552217913534,0.7029418928653539,0.24234136396293232,-0.044658019727173766,-0.19423872833269462,-0.21847272843623944,0.06400715690727354,-0.22143045952347265,-0.2150932153333646,-0.08418380669942228,-0.13798545380654514,-0.1555947583083319,0.046693403473269536,-0.029415474474160947,-0.09267975403148623,-0.07990458391900473,-0.1339798625498366,-0.10171148050819506,-0.09949726315767536,0.37475718906013156,0.4382412278365384,0.00872264446029209,0.10544048942651532,0.00469950016206161,-0.1912044323862671,1.1259337549371556e-15,-2.2655211833211805e-13,1.9375101891787348e-12,1.0,-2.2645058558833807e-11
E,0.22076977434559814,0.019652951511584967,0.14777335221191365,0.22511728847709286,0.23421906126744915,-0.19797397166587144,-0.2723325081998962,0.37362718025041214,-0.3891371139688465,-0.04018080080142894,0.2533935361208066,0.1466736290131185,-0.2471863061666921,0.029142272448768533,0.2710821536638537,-0.19886195606241808,-0.2598582158872809,-0.043728951439686345,0.3768894685359173,-0.06817291282187983,-0.11914730600275604,0.37044681447694366,0.09134589349878477,0.18209602111763928,-0.02078460446409391,0.037590800026181134,-0.3550667481041825,0.31087349833207467,0.3179108724945932,0.16649132625001692,-0.12358433109013614,-0.09563912876136556,-0.2712106923259262,-0.15611418655639514,-0.1841081139747681,-0.17163652881850677,-0.11554508852273244,0.11856862726484095,0.31812348089154735,-0.1283843706528158,0.12891128623329462,0.3489541397755214,-0.10074418046222017,0.19769721212251073,-0.025302823083651026,-1.1187815352626916e-15,1.5792922902683152e-13,-1.1051466740098351e-11,-2.2645058558833807e-11,1.0
